product_id,name,description,brand,category,price,currency,stock,ean,color,size,availability,supplier_id
PROD-301,Premium Laptop,15.6-inch high-performance laptop with 16GB RAM,TechPro,Electronics,1200.50,USD,45,8574859632145,Silver,15.6 inch,In Stock,VEND-101
PROD-302,Wireless Headphones,Noise-cancelling Bluetooth headphones,AudioMax,Electronics,350.00,USD,120,7485963214587,Black,Standard,In Stock,VEND-102
PROD-303,Running Shoes,Lightweight breathable running shoes,SportMaster,Footwear,45.75,USD,230,6398521478963,Blue,42,In Stock,VEND-103
PROD-304,Office Chair,Ergonomic office chair with lumbar support,ComfortPlus,Furniture,150.30,USD,35,5214789632587,Black,Standard,In Stock,VEND-101
PROD-305,Coffee Maker,12-cup programmable coffee maker,HomeEssentials,Kitchen,89.99,USD,85,4125896374125,Silver,Standard,In Stock,VEND-104
PROD-306,Smartphone,6.5-inch smartphone with 128GB storage,MobileTech,Electronics,499.00,USD,60,3698521478523,Space Gray,6.5 inch,In Stock,VEND-105
PROD-307,Yoga Mat,Extra thick non-slip yoga mat,FitLife,Fitness,65.25,USD,110,2587413698521,Purple,Standard,In Stock,VEND-102
PROD-308,Desk Lamp,LED desk lamp with adjustable brightness,LightMaster,Home Decor,8.99,USD,175,1478523698741,White,Standard,In Stock,VEND-103
PROD-309,External Hard Drive,1TB portable external hard drive,DataSafe,Electronics,125.50,USD,95,9632587413698,Black,Standard,In Stock,VEND-104
PROD-310,Bath Towel Set,Set of 4 cotton bath towels,HomeComfort,Bath,39.99,USD,140,8521479632587,Beige,Large,In Stock,VEND-101
PROD-311,Plant Pot,Ceramic plant pot with drainage,GreenThumb,Garden,12.75,USD,200,7413698521479,Terracotta,Medium,In Stock,VEND-106
PROD-312,Electric Toothbrush,Rechargeable sonic toothbrush,DentalCare,Personal Care,55.50,USD,160,6321458796321,White,Standard,In Stock,VEND-102
PROD-313,Smart TV,55-inch 4K smart TV,VisualTech,Electronics,899.00,USD,30,5214789632147,Black,55 inch,In Stock,VEND-107
PROD-314,Water Bottle,Insulated stainless steel water bottle,HydroLife,Sports,22.99,USD,250,4125896374189,Blue,750ml,In Stock,VEND-103
PROD-315,Reusable Shopping Bags,Set of 5 eco-friendly shopping bags,EcoWare,Household,5.99,USD,300,3698521478965,Mixed,Standard,In Stock,VEND-104
PROD-316,Digital Camera,20MP digital camera with zoom lens,PhotoPro,Electronics,149.50,USD,45,2587413698547,Black,Standard,In Stock,VEND-108
PROD-317,Kitchen Knife Set,Set of 5 stainless steel kitchen knives,ChefChoice,Kitchen,85.25,USD,75,1478523698798,Silver,Standard,In Stock,VEND-101
PROD-318,Desk Organizer,Multi-compartment desk organizer,OfficeNeat,Office Supplies,32.75,USD,130,9632587413632,Black,Standard,In Stock,VEND-109
PROD-319,Hand Soap,Natural liquid hand soap,PureClean,Personal Care,3.50,USD,400,8521479632123,Clear,300ml,In Stock,VEND-110
PROD-320,Wireless Mouse,Ergonomic wireless computer mouse,TechEase,Electronics,75.99,USD,95,7413698521236,Black,Standard,In Stock,VEND-102
PROD-321,Backpack,Water-resistant laptop backpack,TravelGear,Bags,42.50,USD,85,6321458796478,Navy,Large,In Stock,VEND-111
PROD-322,Air Purifier,HEPA filter air purifier for medium rooms,CleanAir,Home Appliances,199.95,USD,40,5214789632963,White,Medium,In Stock,VEND-112
PROD-323,Bluetooth Speaker,Portable waterproof Bluetooth speaker,SoundWave,Electronics,59.75,USD,110,4125896374753,Black,Standard,In Stock,VEND-113
PROD-324,Cutting Board,Bamboo cutting board set of 3,KitchenPro,Kitchen,28.99,USD,150,3698521478741,Natural,Mixed,In Stock,VEND-114
PROD-325,Sunglasses,Polarized UV protection sunglasses,VisionStyle,Accessories,35.00,USD,80,2587413698852,Black,Standard,In Stock,VEND-115
PROD-326,Wall Clock,Minimalist wall clock,HomeDecor,Home Decor,19.50,USD,120,1478523698145,White,30cm,In Stock,VEND-116
PROD-327,Protein Powder,Whey protein powder 2lb container,FitnutritionINC,Nutrition,29.99,USD,65,9632587413741,N/A,2lb,In Stock,VEND-117
PROD-328,Scented Candle,Long-lasting aromatherapy candle,AromaBliss,Home Decor,15.75,USD,200,8521479632896,Ivory,Standard,In Stock,VEND-118
