location_id,location_name,location_type,address,city,state,country,postal_code,latitude,longitude,floor_area_sqm,building_type,year_built,energy_rating,grid_connection_type,timezone,owner_id,manager_id,occupancy,operating_hours
LOC-1001,Headquarters Building,Office Building,123 Main Street,Chicago,IL,USA,60601,41.8781,-87.6298,25000,Commercial,2015,LEED Gold,Primary Substation,America/Chicago,ORG-101,EMP-201,1200,Monday-Friday 08:00-18:00
LOC-1002,Solar Farm Alpha,Renewable Generation,Rural Route 7,Phoenix,AZ,USA,85001,33.4484,-112.0740,150000,Solar Farm,2022,N/A,High Voltage Transmission,America/Phoenix,ORG-102,EMP-202,15,24/7
LOC-1003,Downtown Data Center,Data Center,456 Tech Avenue,Dallas,TX,USA,75201,32.7767,-96.7970,8500,Data Center,2018,ENERGY STAR,Dedicated Feeder,America/Chicago,ORG-101,EMP-203,45,24/7
LOC-1004,Coastal Wind Farm,Renewable Generation,Ocean Drive,Portland,ME,USA,04101,43.6591,-70.2568,300000,Wind Farm,2019,N/A,High Voltage Transmission,America/New_York,ORG-103,EMP-204,18,24/7
LOC-1005,Regional Substation,Substation,789 Power Lane,Denver,CO,USA,80201,39.7392,-104.9903,5000,Utility,2010,N/A,Transmission Hub,America/Denver,ORG-104,EMP-205,10,24/7
LOC-1006,Public EV Charging Plaza,Charging Station,200 Green Street,San Francisco,CA,USA,94102,37.7749,-122.4194,1200,Transportation,2021,N/A,Distribution Network,America/Los_Angeles,ORG-105,EMP-206,0,24/7
LOC-1007,Cloud Services Center,Data Center,101 Server Road,Ashburn,VA,USA,20147,39.0438,-77.4874,12000,Data Center,2017,ENERGY STAR,Redundant Feeder,America/New_York,ORG-101,EMP-207,65,24/7
LOC-1008,Manufacturing Plant,Industrial,500 Factory Blvd,Detroit,MI,USA,48201,42.3314,-83.0458,45000,Manufacturing,2005,ISO 50001,Primary Substation,America/Detroit,ORG-106,EMP-208,350,Monday-Saturday 06:00-22:00
LOC-1009,Riverside Hydro Plant,Renewable Generation,1 River Way,Niagara Falls,NY,USA,14303,43.0962,-79.0377,3500,Hydro Plant,1995,N/A,High Voltage Transmission,America/New_York,ORG-107,EMP-209,25,24/7
LOC-1010,Biomass Processing Facility,Renewable Generation,300 Harvest Road,Eugene,OR,USA,97401,44.0521,-123.0868,12500,Biomass Plant,2018,N/A,Medium Voltage Distribution,America/Los_Angeles,ORG-108,EMP-210,40,24/7
LOC-1011,Research Campus,Research Facility,1000 Innovation Parkway,Boston,MA,USA,02110,42.3601,-71.0589,35000,Campus,2016,LEED Platinum,Campus Microgrid,America/New_York,ORG-109,EMP-211,800,Monday-Friday 07:00-20:00
