device_id,device_name,device_type,manufacturer,model,rated_power_kw,installation_date,firmware_version,serial_number,location_id,status,maintenance_due,efficiency_rating,max_capacity,communication_protocol,ip_address,warranty_expiry,last_inspection_date,energy_label,lifecycle_phase
DEV-1001,Main HVAC Unit,HVAC System,Carrier,Infinity 20,15.5,2023-01-15,v4.2.1,CAR78954123,LOC-1001,Active,2025-12-15,A+,250000 BTU,BACnet,192.168.1.101,2028-01-15,2025-01-05,A+++,Operational
DEV-1002,Solar Array North,Solar Panel System,SunPower,X22-370,25.9,2022-08-20,v2.0.5,SPX22789456,LOC-1002,Active,2025-08-20,A++,25.9 kW,Modbus,192.168.1.102,2032-08-20,2024-12-10,A+,Operational
DEV-1003,Battery Storage 1,Battery System,Tesla,Powerpack 2,50.0,2023-03-12,v7.1.3,TPK23567891,LOC-1001,Active,2025-03-12,A,100 kWh,Proprietary,192.168.1.103,2028-03-12,2025-01-15,A,Operational
DEV-1004,Chiller Unit 1,Cooling System,Trane,RTAC,120.0,2021-06-18,v3.4.8,TRN67891234,LOC-1003,Active,2025-06-18,B+,400 Tons,Modbus,192.168.1.104,2026-06-18,2024-11-30,B,Operational
DEV-1005,Wind Turbine 1,Wind Generator,Vestas,V126-3.45,3450.0,2019-10-25,v2.1.9,VST34567890,LOC-1004,Active,2025-04-25,A+,3.45 MW,OPC UA,192.168.1.105,2029-10-25,2024-10-05,A,Operational
DEV-1006,Substation Transformer,Transformer,ABB,Power IT,2500.0,2020-05-11,N/A,ABB12345678,LOC-1005,Active,2025-05-11,A,2.5 MVA,DNP3,192.168.1.106,2030-05-11,2024-11-15,A,Operational
DEV-1007,Office Lighting System,Lighting,Philips,HUE Commercial,15.0,2023-07-20,v2.4.6,PHL45678901,LOC-1001,Active,2025-07-20,A++,15 kW,ZigBee,192.168.1.107,2028-07-20,2025-01-20,A++,Operational
DEV-1008,Electric Vehicle Charger 1,EV Charger,ChargePoint,CT4000,7.2,2022-11-30,v5.1.2,CP56789012,LOC-1006,Active,2025-11-30,A+,7.2 kW,OCPP,192.168.1.108,2027-11-30,2024-11-25,A+,Operational
DEV-1009,Boiler System,Heating System,Viessmann,Vitocrossal 300,85.0,2021-02-14,v1.8.7,VSM67890123,LOC-1001,Active,2025-02-14,A,300000 BTU,KNX,192.168.1.109,2026-02-14,2024-08-15,A,Operational
DEV-1010,Smart Meter Main,Smart Meter,Landis+Gyr,E650,0.01,2022-04-05,v3.2.1,LG78901234,LOC-1001,Active,2025-04-05,A++,N/A,DLMS,192.168.1.110,2027-04-05,2024-10-20,A+,Operational
DEV-1011,Battery Storage 2,Battery System,LG Chem,RESU10H,10.0,2022-09-17,v4.3.2,LGC89012345,LOC-1002,Active,2025-09-17,A+,10 kWh,Modbus,192.168.1.111,2027-09-17,2024-09-05,A+,Operational
DEV-1012,Elevator Motor 1,Motor,Otis,Gen2,15.0,2020-12-21,v2.0.1,OT90123456,LOC-1001,Active,2025-06-21,B+,15 kW,BACnet,192.168.1.112,2025-12-21,2024-12-15,B+,Operational
DEV-1013,Solar Array South,Solar Panel System,First Solar,Series 6,30.0,2023-04-30,v1.7.3,FS01234567,LOC-1002,Active,2025-04-30,A++,30 kW,Modbus,192.168.1.113,2033-04-30,2025-01-10,A++,Operational
DEV-1014,Water Pump System,Pump,Grundfos,MAGNA3,5.5,2021-11-10,v2.5.6,GF12345678,LOC-1001,Active,2025-11-10,A,5.5 kW,Modbus,192.168.1.114,2026-11-10,2024-11-01,A,Operational
DEV-1015,Cooling Tower,Cooling System,Baltimore Aircoil,Series 3000,45.0,2020-08-03,v1.1.5,BAC23456789,LOC-1003,Maintenance,2025-02-03,B,500 Tons,BACnet,192.168.1.115,2025-08-03,2024-08-15,B,Operational
DEV-1016,Wind Turbine 2,Wind Generator,GE,2.5-120,2500.0,2018-05-29,v3.4.2,GE34567890,LOC-1004,Active,2025-11-29,A,2.5 MW,OPC UA,192.168.1.116,2028-05-29,2024-11-15,A,Operational
DEV-1017,Emergency Generator,Generator,Cummins,QSK60,2000.0,2021-09-14,v2.0.8,CUM45678901,LOC-1001,Standby,2025-09-14,B+,2 MW,Modbus,192.168.1.117,2026-09-14,2024-09-10,B+,Operational
DEV-1018,Server Room AC,HVAC System,Daikin,VRV IV,25.0,2022-06-12,v4.5.2,DKN56789012,LOC-1007,Active,2025-06-12,A,25 kW,BACnet,192.168.1.118,2027-06-12,2024-12-05,A,Operational
DEV-1019,Electric Vehicle Charger 2,EV Charger,Tesla,Wall Connector,11.5,2023-02-28,v2.2.0,TES67890123,LOC-1006,Active,2025-02-28,A++,11.5 kW,OCPP,192.168.1.119,2028-02-28,2025-01-25,A++,Operational
DEV-1020,Energy Storage System,Battery System,Fluence,Gridstack,100.0,2021-07-16,v3.6.7,FL78901234,LOC-1005,Active,2025-07-16,A+,100 kWh,DNP3,192.168.1.120,2026-07-16,2024-07-05,A+,Operational
DEV-1021,Solar Inverter 1,Solar Inverter,SMA,Sunny Tripower,27.0,2022-08-20,v2.3.5,SMA89012345,LOC-1002,Active,2025-08-20,A++,27 kW,Modbus,192.168.1.121,2032-08-20,2024-08-10,A++,Operational
DEV-1022,Elevator Motor 2,Motor,Schindler,5500,18.0,2021-04-09,v1.9.3,SCH90123456,LOC-1001,Active,2025-04-09,B+,18 kW,BACnet,192.168.1.122,2026-04-09,2024-10-15,B+,Operational
DEV-1023,Water Heater,Heating System,A.O. Smith,BTH-199,11.7,2022-10-13,v1.0.2,AOS01234567,LOC-1001,Active,2025-10-13,B,199000 BTU,Modbus,192.168.1.123,2027-10-13,2024-10-05,B,Operational
DEV-1024,Smart Thermostat System,Building Control,Honeywell,Tridium Niagara,0.1,2023-01-07,v4.8.5,HON12345678,LOC-1001,Active,2025-01-07,A++,N/A,BACnet,192.168.1.124,2028-01-07,2025-01-05,A++,Operational
DEV-1025,Data Center UPS,UPS,Eaton,9395P,900.0,2020-11-20,v3.2.7,EA23456789,LOC-1007,Active,2025-05-20,A,900 kW,Modbus,192.168.1.125,2025-11-20,2024-09-15,A,Operational
DEV-1026,Chiller Unit 2,Cooling System,York,YMC²,150.0,2022-03-05,v2.6.1,YRK34567890,LOC-1003,Active,2025-03-05,A,500 Tons,BACnet,192.168.1.126,2027-03-05,2024-09-25,A,Operational
DEV-1027,Solar Inverter 2,Solar Inverter,Fronius,Eco 27.0-3-S,27.0,2023-04-30,v3.1.4,FRO45678901,LOC-1002,Active,2025-04-30,A++,27 kW,Modbus,192.168.1.127,2033-04-30,2025-01-15,A++,Operational
DEV-1028,Electric Vehicle Charger 3,EV Charger,ABB,Terra HP,175.0,2022-05-18,v2.4.3,ABB56789012,LOC-1006,Active,2025-05-18,A++,175 kW,OCPP,192.168.1.128,2027-05-18,2024-11-10,A++,Operational
