event_id,event_type,device_id,location_id,timestamp,duration_minutes,energy_kwh,peak_power_kw,triggered_by,status,anomaly_detected,notes,priority,resolution,assigned_to,weather_conditions,external_temperature_c,event_signature,cost_impact_usd,carbon_impact_kg
EVT-10001,Power Outage,DEV-1003,LOC-1001,2025-01-05T14:23:45,127,0,0,Grid Failure,Resolved,No,Substation failure caused complete power loss,High,Backup generator activated,EMP-301,Clear,2.5,PO-12458-75,1250.75,0
EVT-10002,Efficiency Decrease,DEV-1002,LOC-1002,2025-01-07T09:15:30,2880,450.5,25.9,Dust Accumulation,Resolved,Yes,Solar panel efficiency dropped by 15%,Medium,Panel cleaning performed,EMP-302,Sunny,32.1,ED-78542-33,645.20,102.5
EVT-10003,Maintenance,DEV-1004,LOC-1003,2025-01-10T08:00:00,360,0,0,Scheduled,Completed,No,Quarterly maintenance check and filter replacement,Low,All systems operational,EMP-303,Cloudy,18.5,MT-98754-11,1200.00,0
EVT-10004,Demand Response,DEV-1007,LOC-1001,2025-01-12T16:30:15,90,75.2,12.8,Utility Signal,Completed,No,Peak load reduction event successfully executed,Medium,Load reduced by 15%,EMP-304,Partly Cloudy,26.7,DR-45632-99,0,-15.8
EVT-10005,Equipment Failure,DEV-1015,LOC-1003,2025-01-15T11:42:10,840,0,0,Component Failure,Resolved,Yes,Cooling tower pump motor failure,High,Motor replaced,EMP-305,Rainy,12.3,EF-85214-62,3750.25,0
EVT-10006,Energy Spike,DEV-1018,LOC-1007,2025-01-18T03:27:55,15,45.8,183.2,System Malfunction,Resolved,Yes,Unexpected power surge in server cooling system,High,Circuit breaker replaced,EMP-306,Clear,15.6,ES-15487-01,850.50,10.5
EVT-10007,Renewable Generation Peak,DEV-1005,LOC-1004,2025-01-20T13:00:25,180,1575.0,3450.0,Weather Conditions,Completed,No,Record wind generation during storm front,Low,N/A,EMP-307,Stormy,8.9,RG-94562-23,0,-360.2
EVT-10008,Scheduled Shutdown,DEV-1010,LOC-1001,2025-01-22T22:00:00,360,0,0,Maintenance,Completed,No,Building-wide power shutdown for electrical upgrades,Medium,Successfully completed on schedule,EMP-308,Clear,-5.2,SS-78965-45,0,0
EVT-10009,Voltage Sag,DEV-1006,LOC-1005,2025-01-25T17:35:12,12,0,0,Grid Instability,Resolved,Yes,Momentary voltage reduction detected,Medium,Power quality monitoring implemented,EMP-309,Sunny,23.1,VS-12589-72,0,0
EVT-10010,Capacity Test,DEV-1003,LOC-1001,2025-01-27T10:00:00,120,125.0,50.0,Testing,Completed,No,Battery storage capacity verification test,Low,95% capacity confirmed,EMP-310,Partly Cloudy,14.5,CT-65823-14,0,0
EVT-10011,Critical Alarm,DEV-1042,LOC-1007,2025-01-30T02:14:37,45,0,0,Temperature Threshold,Resolved,Yes,Data center cooling emergency alarm,Critical,Backup cooling system activated,EMP-311,Clear,-8.4,CA-98532-08,0,0
EVT-10012,Efficiency Increase,DEV-1013,LOC-1002,2025-02-01T12:30:00,1440,795.0,30.0,System Optimization,Completed,No,Solar tracking algorithm improvement deployed,Low,Efficiency increased by 8%,EMP-312,Sunny,29.8,EI-32145-77,0,-181.3
EVT-10013,Power Quality Event,DEV-1035,LOC-1005,2025-02-03T19:27:18,35,0,0,Harmonic Distortion,Resolved,Yes,Harmonic distortion exceeding IEEE limits,Medium,Harmonic filters adjusted,EMP-313,Clear,10.2,PQ-85214-39,750.25,0
EVT-10014,Maintenance,DEV-1009,LOC-1001,2025-02-05T08:30:00,240,0,0,Scheduled,Completed,No,Annual boiler system inspection and service,Low,All components operating within parameters,EMP-314,Snowing,-2.1,MT-32569-40,1500.00,0
EVT-10015,Equipment Failure,DEV-1008,LOC-1006,2025-02-08T15:42:33,720,0,0,Component Failure,Resolved,Yes,EV charger communication module failure,High,Module replaced,EMP-315,Rainy,12.5,EF-45871-91,1250.75,0
EVT-10016,Load Balancing,DEV-1020,LOC-1005,2025-02-10T11:15:00,60,25.0,25.0,Grid Request,Completed,No,Energy storage discharge for grid stabilization,Medium,Successfully delivered 25 kWh to grid,EMP-316,Cloudy,15.7,LB-78542-26,0,-5.7
