shipment_id,order_id,shipment_type,ship_from_id,ship_to_id,carrier_id,status,date_created,estimated_delivery,actual_ship_date,actual_delivery_date,package_count,total_weight,weight_unit,transport_mode,tracking_number,current_location,special_instructions,customs_clearance,insurance_value,temperature_controlled
SHIP-1001,ORD-1001,Standard,LOC-401,LOC-501,CARR-601,Delivered,2025-01-05,2025-01-15,2025-01-06,2025-01-14,1,8.5,kg,Ground,TRK12345678,Delivered,None,No,600.00,No
SHIP-1002,ORD-1002,Express,LOC-402,LOC-502,CARR-602,Delivered,2025-01-06,2025-01-12,2025-01-07,2025-01-11,1,4.2,kg,Air,TRK23456789,Delivered,Handle with care,No,700.00,No
SHIP-1003,ORD-1003,Standard,LOC-403,LOC-503,CARR-603,In Transit,2025-01-07,2025-01-20,2025-01-09,NULL,2,12.8,kg,Ground,TRK34567890,Chicago IL,None,No,450.00,No
SHIP-1004,ORD-1004,Bulk,LOC-401,LOC-504,CARR-604,In Transit,2025-01-08,2025-01-25,2025-01-10,NULL,5,76.3,kg,Ground,TRK45678901,Denver CO,None,No,760.00,No
SHIP-1005,ORD-1005,Standard,LOC-404,LOC-505,CARR-601,Delivered,2025-01-09,2025-01-19,2025-01-11,2025-01-18,1,5.1,kg,Ground,TRK56789012,Delivered,None,No,270.00,No
SHIP-1006,ORD-1006,Express,LOC-405,LOC-506,CARR-605,Cancelled,2025-01-10,2025-01-16,NULL,NULL,1,2.3,kg,Air,NULL,NULL,Signature required,No,500.00,No
SHIP-1007,ORD-1007,Standard,LOC-402,LOC-501,CARR-602,Delivered,2025-01-11,2025-01-21,2025-01-12,2025-01-20,1,6.7,kg,Ground,TRK67890123,Delivered,None,No,260.00,No
SHIP-1008,ORD-1008,Bulk,LOC-403,LOC-507,CARR-606,Processing,2025-01-12,2025-01-30,NULL,NULL,3,42.5,kg,Sea,NULL,Warehouse,None,No,270.00,No
SHIP-1009,ORD-1009,Express,LOC-404,LOC-502,CARR-601,In Transit,2025-01-13,2025-01-18,2025-01-14,NULL,1,4.8,kg,Air,TRK78901234,Atlanta GA,None,No,250.00,No
SHIP-1010,ORD-1010,Standard,LOC-401,LOC-508,CARR-607,Delivered,2025-01-14,2025-01-24,2025-01-15,2025-01-23,1,7.3,kg,Ground,TRK89012345,Delivered,None,No,240.00,No
